a52dec 0.8.0-2
patchutils 0.4.2-2
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.10.0-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.36.1-2
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
phonon-qt5 4.11.1-3
phonon-qt5-vlc 0.11.3-2
pinentry 1.2.1-1
pipewire 1:0.3.71-2
pipewire-alsa 1:0.3.71-2
pipewire-audio 1:0.3.71-2
pipewire-jack 1:0.3.71-2
pipewire-pulse 1:0.3.71-2
pixman 0.42.2-1
pkgconf 1.8.1-1
plasma-framework 5.107.0-1
plasma-integration 5.27.6-1
plasma-workspace 5.27.6-1
playerctl 2.4.1-3
polkit 122-1
polkit-gnome 0.105-10
polkit-qt5 0.114.0-1
poppler 23.06.0-1
poppler-data 0.4.12-1
poppler-glib 23.06.0-1
popt 1.19-1
portaudio 1:19.7.0-2
prison 5.107.0-1
procps-ng 4.0.3-1
procs 0.14.0-1
psmisc 23.6-1
python 3.11.3-2
python-attrs 22.2.0-3
python-autocommand 2.2.2-4
python-build 0.10.0-4
python-cairo 1.23.0-6
python-clickgen 2.1.3-1
python-docutils 1:0.20.1-1
python-fastjsonschema 2.17.1-1
python-gobject 3.44.1-4
python-inflect 6.0.4-2
python-installer 0.7.0-3
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.7.0-1
python-jaraco.text 3.11.1-3
python-mako 1.2.4-3
python-markdown 3.4.3-2
python-markupsafe 2.1.3-1
python-more-itertools 9.1.1-4
python-numpy 1.24.3-2
python-ordered-set 4.1.0-4
python-packaging 23.1-1
python-pillow 9.5.0-2
python-platformdirs 3.5.1-1
python-pydantic 1.10.9-1
python-pyproject-hooks 1.0.0-5
python-setproctitle 1.3.2-2
python-setuptools 1:68.0.0-1
python-six 1.16.0-8
python-toml 0.10.2-9
python-tomli 2.0.1-3
python-tqdm 4.65.0-3
python-trove-classifiers 2023.5.24-1
python-typing_extensions 4.6.3-1
python-validate-pyproject 0.13-1
python-wheel 0.40.0-3
qca-qt5 2.3.6-2
qemu-common 8.0.2-1
qqc2-desktop-style 5.107.0-1
qrencode 4.1.1-2
qt5-base 5.15.10+kde+r129-3
qt5-declarative 5.15.10+kde+r26-1
qt5-graphicaleffects 5.15.10-1
qt5-location 5.15.10+kde+r4-1
qt5-multimedia 5.15.10+kde+r3-1
qt5-quickcontrols 5.15.10-1
qt5-quickcontrols2 5.15.10+kde+r6-1
qt5-speech 5.15.10+kde+r1-1
qt5-svg 5.15.10+kde+r8-1
qt5-tools 5.15.10+kde+r3-1
qt5-translations 5.15.10-1
qt5-wayland 5.15.10+kde+r51-1
qt5-webchannel 5.15.10+kde+r3-1
qt5-webengine 5.15.14-2
qt5-x11extras 5.15.10-1
qt6-base 6.5.1-4
qt6-declarative 6.5.1-2
qt6-translations 6.5.1-1
qt6-wayland 6.5.1-1
rav1e 0.6.6-1
re2 1:20230301-1
readline 8.2.001-2
rhash 1.4.3-1
ripgrep 13.0.0-3
rofi 1.7.5-1
rsync 3.2.7-4
rtkit 0.13-2
run-parts 5.5-1
runc 1.1.7-1
rustup 1.26.0-3
sbc 2.0-1
scdoc 1.11.2-5
sddm-git 0.20.0.6.g07631f2-1
sddm-kcm 5.27.6-1
sdl2 2.28.0-1
seatd 0.7.0-3
sed 4.9-3
semver 7.3.8-1
serd 0.30.16-1
shaderc 2023.3-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
slurp 1.4.0-1
smbclient 4.18.3-1
snappy 1.1.9-2
sndio 1.9.0-1
solid 5.107.0-1
sonnet 5.107.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-10
spdlog 1.11.0-2
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
spotify-tui 0.25.0-3
